movie_id,title,production_year,votes,vote_mean,vote_sd,theat_gross_dollars,theat_last_date,role,count,count_male,mean_male,wmean_male,mean_age,wmean_age,count_female,status,bechdel_id,imdbid,year,bechdel_title,bechdel_test
129930,Cashback,2006,71822,6.59,2.289,24942,2007-07-29,actsin,19,9,0.473684210526316,0.482875694060844,29.1578947368421,24.0671697601973,10,mixed,4401,0460740,2006,Cashback,3
129930,Cashback,2006,71822,6.59,2.289,24942,2007-07-29,director,1,1,1,1,36,36,0,all male,4401,0460740,2006,Cashback,3
129930,Cashback,2006,71822,6.59,2.289,24942,2007-07-29,writer,1,1,1,1,36,36,0,all male,4401,0460740,2006,Cashback,3
130004,Casino,1995,326025,7.21,2.449,42438300,2016-08-02,actsin,52,45,0.865384615384615,0.815629826291538,53.4230769230769,51.8005781067207,7,mixed,2220,0112641,1995,Casino,2
130004,Casino,1995,326025,7.21,2.449,42438300,2016-08-02,director,1,1,1,1,53,53,0,all male,2220,0112641,1995,Casino,2
130004,Casino,1995,326025,7.21,2.449,42438300,2016-08-02,writer,3,3,1,1,59,62,0,all male,2220,0112641,1995,Casino,2
130011,Casino Jack,2010,14596,6.04,2.031,1039869,2011-04-03,actsin,21,15,0.714285714285714,0.803316292457782,44.3809523809524,43.9295823312436,6,mixed,2328,1194417,2010,Casino Jack,1
130011,Casino Jack,2010,14596,6.04,2.031,1039869,2011-04-03,director,1,1,1,1,47,47,0,all male,2328,1194417,2010,Casino Jack,1
130017,Casino Royale,1967,21810,5.45,2.156,22744718,1967-12-31,actsin,79,52,0.658227848101266,0.569387631798423,40.7721518987342,40.2318166097251,27,mixed,2664,0061452,1967,Casino Royale,2
130017,Casino Royale,1967,21810,5.45,2.156,22744718,1967-12-31,director,5,5,1,1,53.8,53.8,0,all male,2664,0061452,1967,Casino Royale,2
130017,Casino Royale,1967,21810,5.45,2.156,22744718,1967-12-31,writer,9,9,1,1,50.3333333333333,50.0798933443911,0,all male,2664,0061452,1967,Casino Royale,2
130018,Casino Royale,2006,461601,7.21,2.449,167445960,2007-03-18,actsin,47,35,0.74468085106383,0.657169004856765,43.8085106382979,42.5048827658084,12,mixed,221,0381061,2006,Casino Royale,1
130018,Casino Royale,2006,461601,7.21,2.449,167445960,2007-03-18,director,1,1,1,1,63,63,0,all male,221,0381061,2006,Casino Royale,1
130018,Casino Royale,2006,461601,7.21,2.449,167445960,2007-03-18,writer,4,4,1,1,60,68.4521467024994,0,all male,221,0381061,2006,Casino Royale,1
130053,Casper,1995,83784,5.72,2.206,100328194,2016-08-02,actsin,31,24,0.774193548387097,0.823103944608198,34.6451612903226,29.9059778327079,7,mixed,106,0112642,1995,Casper,3
130053,Casper,1995,83784,5.72,2.206,100328194,2016-08-02,director,1,1,1,1,32,32,0,all male,106,0112642,1995,Casper,3
130053,Casper,1995,83784,5.72,2.206,100328194,2016-08-02,writer,1,0,0,0,36,36,1,all female,106,0112642,1995,Casper,3
130173,Cast Away,2000,386471,7.04,2.389,233632142,2001-07-22,actsin,25,15,0.6,0.403334896109068,43.88,47.0167579473875,10,mixed,3795,0162222,2000,Cast Away,2
130173,Cast Away,2000,386471,7.04,2.389,233632142,2001-07-22,director,1,1,1,1,48,48,0,all male,3795,0162222,2000,Cast Away,2
130173,Cast Away,2000,386471,7.04,2.389,233632142,2001-07-22,writer,1,1,1,1,56,56,0,all male,3795,0162222,2000,Cast Away,2
130646,Cat People,1982,13960,6.05,2.121,7e+06,2016-08-02,actsin,16,11,0.6875,0.527156882096248,36.9375,34.0632443144472,5,mixed,2770,0083722,1982,Cat People,3
130646,Cat People,1982,13960,6.05,2.121,7e+06,2016-08-02,director,1,1,1,1,36,36,0,all male,2770,0083722,1982,Cat People,3
130646,Cat People,1982,13960,6.05,2.121,7e+06,2016-08-02,writer,2,2,1,1,37.5,37.5,0,all male,2770,0083722,1982,Cat People,3
130887,Catch .44,2011,14187,5.05,2.202,1887,2011-12-09,actsin,10,6,0.6,0.370666118046142,41.5,36.9319275141363,4,mixed,3349,1886493,2011,Catch .44,3
130924,Catch Me If You Can,2002,505854,7.21,2.449,164615351,2016-08-02,actsin,96,63,0.65625,0.798101852031196,40.1875,45.4481593971453,33,mixed,617,0264464,2002,Catch Me If You Can,1
130924,Catch Me If You Can,2002,505854,7.21,2.449,164615351,2016-08-02,director,1,1,1,1,56,56,0,all male,617,0264464,2002,Catch Me If You Can,1
130924,Catch Me If You Can,2002,505854,7.21,2.449,164615351,2016-08-02,writer,1,1,1,1,54,54,0,all male,617,0264464,2002,Catch Me If You Can,1
131251,Cats Don't Dance,1997,5513,6.55,2.479,3562749,1997-05-26,actsin,30,19,0.633333333333333,0.428460480713338,45.8666666666667,40.5189390196146,11,mixed,1947,0118829,1997,Cats Don't Dance,3
131328,Catwoman,2004,86036,3.95,2.637,40202379,2016-08-02,actsin,31,17,0.548387096774194,0.3071414541277,32.2903225806452,40.220195693117,14,mixed,1027,0327554,2004,Catwoman,3
131328,Catwoman,2004,86036,3.95,2.637,40202379,2016-08-02,director,1,1,1,1,47,47,0,all male,1027,0327554,2004,Catwoman,3
131328,Catwoman,2004,86036,3.95,2.637,40202379,2016-08-02,writer,5,5,1,1,53.4,72.3810069875477,0,all male,1027,0327554,2004,Catwoman,3
132121,Cecil B. DeMented,2000,11296,6.05,2.224,1284646,2016-08-02,actsin,45,35,0.777777777777778,0.474867517096034,34.8,32.2417638243356,10,mixed,4148,0173716,2000,Cecil B. Demented,3
132121,Cecil B. DeMented,2000,11296,6.05,2.224,1284646,2016-08-02,director,1,1,1,1,54,54,0,all male,4148,0173716,2000,Cecil B. Demented,3
132121,Cecil B. DeMented,2000,11296,6.05,2.224,1284646,2016-08-02,writer,1,1,1,1,54,54,0,all male,4148,0173716,2000,Cecil B. Demented,3
132163,Cedar Rapids,2011,32385,6.05,2.121,6857503,2011-05-22,actsin,18,15,0.833333333333333,0.784462668781193,43.9444444444444,45.7984869362561,3,mixed,3028,1477837,2011,Cedar Rapids,1
132163,Cedar Rapids,2011,32385,6.05,2.121,6857503,2011-05-22,director,1,1,1,1,46,46,0,all male,3028,1477837,2011,Cedar Rapids,1
132330,Celeste & Jesse Forever,2012,23887,6.23,2.109,3094687,2012-12-09,actsin,29,16,0.551724137931034,0.577572653942257,35.2413793103448,34.3199353075096,13,mixed,3480,1405365,2012,Celeste and Jesse Forever,3
132330,Celeste & Jesse Forever,2012,23887,6.23,2.109,3094687,2012-12-09,writer,2,1,0.5,4.53594846826974e-101,37,36,1,mixed,3480,1405365,2012,Celeste and Jesse Forever,3
132484,Cellular,2004,78175,6.13,2.048,32003620,2004-12-12,actsin,55,37,0.672727272727273,0.216927008476475,33.9272727272727,42.690670177575,18,mixed,2921,0337921,2004,Cellular,3
132484,Cellular,2004,78175,6.13,2.048,32003620,2004-12-12,director,1,1,1,1,52,52,0,all male,2921,0337921,2004,Cellular,3
132484,Cellular,2004,78175,6.13,2.048,32003620,2004-12-12,writer,1,1,1,1,63,63,0,all male,2921,0337921,2004,Cellular,3
132782,Center Stage,2000,15612,6.55,2.479,17174870,2000-09-10,actsin,41,20,0.48780487804878,0.316796511059184,30.6341463414634,34.417629076694,21,mixed,1192,0210616,2000,Center Stage,3
132782,Center Stage,2000,15612,6.55,2.479,17174870,2000-09-10,director,1,1,1,1,44,44,0,all male,1192,0210616,2000,Center Stage,3
132911,Centurion,2010,63849,6.05,2.121,122288,2010-09-26,actsin,24,20,0.833333333333333,0.88088581643011,39.4166666666667,40.4160040716279,4,mixed,1506,1020558,2010,Centurion,1
132911,Centurion,2010,63849,6.05,2.121,122288,2010-09-26,director,1,1,1,1,40,40,0,all male,1506,1020558,2010,Centurion,1
132911,Centurion,2010,63849,6.05,2.121,122288,2010-09-26,writer,1,1,1,1,40,40,0,all male,1506,1020558,2010,Centurion,1
133054,Ceremony,2010,3566,5.55,2.156,21666,2011-05-15,actsin,9,6,0.666666666666667,0.703627920821033,37.6666666666667,30.5259560977763,3,mixed,2686,1341341,2010,Ceremony,2
133054,Ceremony,2010,3566,5.55,2.156,21666,2011-05-15,director,1,1,1,1,27,27,0,all male,2686,1341341,2010,Ceremony,2
133054,Ceremony,2010,3566,5.55,2.156,21666,2011-05-15,writer,1,1,1,1,27,27,0,all male,2686,1341341,2010,Ceremony,2
133278,Cesar Chavez,2014,2473,6.41,2.406,5550866,2014-05-04,actsin,25,20,0.8,0.857809132058817,50.68,40.6770305580594,5,mixed,5345,1621046,2014,Cesar Chavez,3
133278,Cesar Chavez,2014,2473,6.41,2.406,5550866,2014-05-04,director,1,1,1,1,35,35,0,all male,5345,1621046,2014,Cesar Chavez,3
133747,Chain Reaction,1996,39826,5.5,2.062,20550712,1996-09-29,actsin,30,27,0.9,0.803379649127026,43.7666666666667,43.8016760259663,3,mixed,4967,0115857,1996,Chain Reaction,1
133747,Chain Reaction,1996,39826,5.5,2.062,20550712,1996-09-29,director,1,1,1,1,50,50,0,all male,4967,0115857,1996,Chain Reaction,1
133979,Chalet Girl,2011,18028,6.38,2.306,1201,2011-10-23,actsin,26,13,0.5,0.367404837417415,35.9615384615385,34.4755397570863,13,mixed,5986,1487118,2011,Chalet Girl,3
133979,Chalet Girl,2011,18028,6.38,2.306,1201,2011-10-23,director,1,1,1,1,38,38,0,all male,5986,1487118,2011,Chalet Girl,3
134890,Changeling,2008,196686,7.04,2.389,35739802,2016-08-02,actsin,53,37,0.69811320754717,0.335132726242827,37.0566037735849,35.3898905583686,16,mixed,286,0824747,2008,Changeling,3
134890,Changeling,2008,196686,7.04,2.389,35739802,2016-08-02,director,1,1,1,1,78,78,0,all male,286,0824747,2008,Changeling,3
134890,Changeling,2008,196686,7.04,2.389,35739802,2016-08-02,writer,1,1,1,1,54,54,0,all male,286,0824747,2008,Changeling,3
135320,Chaplin,1992,42204,7.04,2.389,9493259,2016-08-02,actsin,95,72,0.757894736842105,0.568398051987665,47.6947368421053,35.3656361407088,23,mixed,4782,0103939,1992,Chaplin,1
135320,Chaplin,1992,42204,7.04,2.389,9493259,2016-08-02,director,1,1,1,1,69,69,0,all male,4782,0103939,1992,Chaplin,1
135320,Chaplin,1992,42204,7.04,2.389,9493259,2016-08-02,writer,6,5,0.833333333333333,0.784530246850344,63.8333333333333,66.8298812830163,1,mixed,4782,0103939,1992,Chaplin,1
135341,Chappie,2015,166358,6.59,2.289,31569268,2016-08-02,actsin,12,9,0.75,0.780473581672264,42.5833333333333,38.2907101731616,3,mixed,6134,1823672,2015,Chappie,1
135341,Chappie,2015,166358,6.59,2.289,31569268,2016-08-02,director,1,1,1,1,36,36,0,all male,6134,1823672,2015,Chappie,1
135341,Chappie,2015,166358,6.59,2.289,31569268,2016-08-02,writer,1,1,1,1,36,36,0,all male,6134,1823672,2015,Chappie,1
135564,Chariots of Fire,1981,39698,6.88,2.386,58972904,2016-08-02,actsin,42,34,0.80952380952381,0.952604375413893,39,36.2281929879859,8,mixed,6507,0082158,1981,Chariots of Fire,1
135564,Chariots of Fire,1981,39698,6.88,2.386,58972904,2016-08-02,director,1,1,1,1,45,45,0,all male,6507,0082158,1981,Chariots of Fire,1
135564,Chariots of Fire,1981,39698,6.88,2.386,58972904,2016-08-02,writer,1,1,1,1,47,47,0,all male,6507,0082158,1981,Chariots of Fire,1
135825,Charlie and the Chocolate Factory,2005,312800,6.17,2.315,206459076,2016-08-02,actsin,34,24,0.705882352941177,0.769641731797938,44.5,42.1242018318675,10,mixed,2417,0367594,2005,Charlie and the Chocolate Factory,3
